age,income,visits,time_on_site,region,device,purchase
56,96637.62249516505,8,8.103676466505643,west,tablet,1
69,58152.38289322751,1,8.976269883402509,west,desktop,1
46,62621.686970468174,4,5.530083289823359,north,mobile,0
32,38626.88181564264,6,7.1381150571854555,east,tablet,0
60,61122.89687405432,4,3.1671546264450123,east,tablet,1
25,75644.75473703034,6,11.049885251249648,south,desktop,1
38,80250.2122538533,6,4.836860518797339,west,tablet,1
56,96238.81474373564,3,12.289163170361165,east,mobile,1
36,75404.69791650922,4,9.39032547073908,south,mobile,1
40,70538.26391599406,6,12.417697275592356,south,desktop,0
28,56074.09776971362,3,13.356648733951651,west,mobile,0
28,51765.191835339865,4,8.58919656588299,north,desktop,1
41,84404.97029336312,4,8.238761715118919,west,mobile,1
53,84021.40703477818,5,6.91170119275534,south,tablet,1
57,43459.74598302455,6,9.989326308488941,south,tablet,1
41,79461.91774306963,3,6.87512170814758,west,mobile,1
20,78007.67382791685,9,8.885499861050377,south,desktop,1
39,42723.822299716114,4,10.593807510299001,south,tablet,0
19,75809.13609578353,2,3.7998677678827466,north,mobile,0
41,44009.07081036385,4,13.19307131669571,east,tablet,0
61,20000.0,2,4.467044416705988,north,mobile,0
47,61797.95172615901,4,9.17033667441811,east,desktop,1
55,70156.29410509978,7,8.379927502367105,east,desktop,0
19,62698.583902337734,6,7.059481593308556,east,desktop,1
38,122342.13634375948,7,6.36513339156253,east,mobile,1
50,72577.0245846995,5,7.7979399832007985,east,desktop,1
29,67942.836385974,4,14.928411647704895,north,desktop,0
39,73591.82606628182,8,5.3303414748737445,east,mobile,1
61,56173.619911998045,4,12.81795471378126,north,desktop,0
42,83589.58124187078,5,6.073245025740858,south,desktop,1
66,72220.03892354203,7,11.863074327240632,south,mobile,1
44,71303.43407784982,1,6.262718328191827,west,mobile,0
59,52517.59554266122,10,6.998962124532921,east,tablet,1
45,33713.393471018135,6,6.29880525822187,east,desktop,0
33,54972.27821845419,6,6.5895503088804395,east,tablet,1
32,70652.67712519785,7,4.832158974841142,north,tablet,0
64,56106.01040510107,4,2.63060940353256,west,desktop,0
68,70834.54334134742,4,6.316322548150325,south,tablet,1
61,60352.7624628739,7,9.445959139468084,south,tablet,1
69,73611.58969253047,4,6.144280339878451,north,mobile,0
20,45463.51748249371,5,13.253683989666516,north,desktop,1
54,68857.80023770162,2,7.1234426235664055,north,desktop,0
68,52180.91707297206,5,11.35948328616374,east,desktop,1
24,34234.34115738727,5,8.326596589974251,east,desktop,0
38,61696.9175394325,5,7.726218325451304,west,tablet,1
26,95726.35147636093,2,7.387818331106065,south,tablet,1
56,35828.47184308035,7,10.265794400822534,west,tablet,0
35,67387.84500788398,3,5.5698515106870055,west,tablet,0
21,80951.54126528448,4,13.373653796039076,north,mobile,1
42,111000.61370288904,4,4.760292364193747,south,tablet,1
31,55141.34035106625,9,3.59150860050097,east,tablet,0
67,52359.98790791374,9,8.705028739839165,west,desktop,0
26,41666.15608121467,3,7.857042428826996,south,desktop,0
