Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-41.831,-8.156681,-80.0,21.165022,15.843634605407715,17.980462632918616
Low-Mid,-34.034977,0.0,-80.0,61.554966,14.727429151535034,17.870140248641633
Low-High,-34.277115,-0.39390182,-80.0,54.43946,15.400512218475342,14.724629351967472
Mid-Low,-33.390175,-0.9752464,-80.0,65.88129,13.162200450897217,19.032014560130257
Mid-Mid,-46.611404,-5.850544,-80.0,10.543984,24.202053546905518,23.15273263427464
Mid-High,-58.86784,-12.172443,-80.0,3.956591,26.393826007843018,27.75914516095423
High-Low,-63.906185,-15.751827,-80.0,1.7533917,29.883286952972412,26.916569315588514
High-Mid,-65.54463,-19.140814,-80.0,1.0617388,30.851521492004395,21.690833747360635
High-High,-59.08257,-21.748451,-80.0,1.9238816,23.080673217773438,21.378410142876763
Overall Song,-69.07269,0.0,-80.0,6.524325,34.221978187561035,12.4624502658844
