Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-56.35972,-15.943562,-80.0,8.629749,16.948140859603882,18.29426553109424
Low-Mid,-47.91399,-4.3248863,-80.0,38.287548,15.625624656677246,18.422891988269157
Low-High,-37.862328,3.8146973e-06,-80.0,69.450485,14.778159856796265,18.171735138765747
Mid-Low,-32.172565,-2.8059845,-80.0,39.26202,16.92622661590576,16.43399768831465
Mid-Mid,-37.647053,-3.3357887,-80.0,24.529312,20.482170581817627,21.53377268666634
Mid-High,-54.13106,-9.039909,-80.0,7.1594396,25.47417640686035,26.34295330390224
High-Low,-64.265205,-6.9382095,-80.0,2.7495291,35.888285636901855,31.134698537541933
High-Mid,-71.22787,-15.558308,-80.0,1.1513381,34.829301834106445,28.914806210549443
High-High,-74.2597,-27.989487,-80.0,0.6070771,27.957298755645752,34.2174195722948
Overall Song,-74.275055,3.8146973e-06,-80.0,5.5145655,36.781439781188965,13.513555526733398
