Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-41.25491,-12.005501,-80.0,23.169106,12.787600755691528,15.765662460559371
Low-Mid,-32.784626,-2.3652573,-80.0,72.12823,12.563925981521606,15.418332602372963
Low-High,-30.833334,3.8146973e-06,-80.0,91.48477,12.864314317703247,18.549355742609862
Mid-Low,-38.664837,-4.4382477,-80.0,27.781384,18.77796173095703,21.517301783868938
Mid-Mid,-42.212452,-11.39024,-80.0,12.203575,18.971307277679443,19.027355892046828
Mid-High,-46.00393,-10.22821,-80.0,9.14235,22.641921043395996,19.790101702917795
High-Low,-51.977695,-16.409313,-80.0,3.906225,23.84683132171631,23.554705986782185
High-Mid,-59.683647,-18.184807,-80.0,2.3540478,26.470179557800293,23.2134208219631
High-High,-62.026188,-23.38208,-80.0,2.1809833,21.936163902282715,22.536612459287177
Overall Song,-63.444313,3.8146973e-06,-80.0,5.8613625,36.731319427490234,12.98169493675232
