Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-30.956179,-6.904682,-80.0,42.843163,13.28817367553711,16.2996145186469
Low-Mid,-25.022738,0.0,-80.0,93.678314,13.397706747055054,19.6662440638629
Low-High,-28.66458,-1.2601509,-80.0,65.485,15.24749755859375,20.667839789635206
Mid-Low,-34.14771,-1.692852,-80.0,32.69232,20.84871530532837,21.428670735811867
Mid-Mid,-40.458195,-10.044098,-80.0,10.804903,22.113971710205078,23.470960304349088
Mid-High,-46.867134,-13.348717,-80.0,5.4360213,24.776148796081543,20.131714643427614
High-Low,-48.52523,-10.432854,-80.0,5.2624755,27.973833084106445,22.265311724555175
High-Mid,-50.94326,-18.623821,-80.0,3.314527,23.798232078552246,22.42795281825041
High-High,-54.787907,-17.97966,-80.0,2.267759,27.738888263702393,24.778823085398123
Overall Song,-60.653862,0.0,-80.0,5.734522,37.66054391860962,13.488322496414185
