Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-37.676903,-10.594521,-80.0,29.969606,12.834999561309814,14.579944448800324
Low-Mid,-24.340405,-2.7977562,-80.0,88.15118,11.260823011398315,16.330375457444962
Low-High,-23.374422,0.0,-80.0,104.20568,12.605313062667847,19.37843054551194
Mid-Low,-34.20766,-1.0823593,-80.0,44.580315,18.89791965484619,22.346796158224997
Mid-Mid,-44.36857,-12.146793,-80.0,10.902823,20.06556749343872,25.0288207031692
Mid-High,-51.166454,-17.074276,-80.0,6.2261724,20.004444122314453,29.465905851520226
High-Low,-58.492756,-19.013615,-80.0,3.0043473,24.394526481628418,24.55718421222916
High-Mid,-57.369576,-22.981869,-80.0,2.6459322,21.529700756072998,23.252679001817597
High-High,-58.206467,-15.623169,-80.0,2.7806733,28.456974029541016,20.656047693534887
Overall Song,-63.11599,0.0,-80.0,7.020383,36.03592395782471,11.62304162979126
