Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-34.233833,-11.401024,-80.0,46.916332,8.443375825881958,10.553903295203412
Low-Mid,-28.927544,-1.8268471,-80.0,148.99147,7.980803847312927,17.46460659839467
Low-High,-32.260986,0.0,-80.0,112.19851,12.271137237548828,21.243260876026028
Mid-Low,-40.842083,-3.7203598,-80.0,30.160887,19.96163845062256,21.379753532099
Mid-Mid,-42.24951,-6.952976,-80.0,14.46146,23.11365842819214,22.54761360430173
Mid-High,-51.26244,-10.74844,-80.0,6.191483,26.686546802520752,20.70754952004869
High-Low,-54.32458,-12.064171,-80.0,3.8430214,29.513254165649414,22.335999778224853
High-Mid,-54.686817,-21.101528,-80.0,2.5388126,24.076738357543945,25.630787145521026
High-High,-57.492374,-23.953323,-80.0,1.6331817,25.056865215301514,27.894386941096233
Overall Song,-62.753918,0.0,-80.0,7.7845035,35.44625997543335,10.815733671188354
