Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-42.646797,-13.427696,-80.0,18.294714,13.364841938018799,16.109455650161838
Low-Mid,-33.634827,-3.6940498,-80.0,60.609314,12.694213390350342,15.589903165020566
Low-High,-33.096134,0.0,-80.0,89.6392,12.989089488983154,15.972305160856484
Mid-Low,-32.453945,-1.6183243,-80.0,46.383953,17.093372344970703,17.637064701416577
Mid-Mid,-35.61617,-7.7859116,-80.0,22.034784,17.39096164703369,20.85881300478325
Mid-High,-45.64758,-15.03759,-80.0,7.196082,19.859535694122314,25.050064373767533
High-Low,-54.75926,-17.905792,-80.0,3.1252177,24.23565149307251,29.57491983577599
High-Mid,-59.197487,-24.57013,-80.0,1.7075907,22.821245193481445,22.170654388425355
High-High,-57.55327,-22.508085,-80.0,2.7200022,20.83958387374878,23.124266252895126
Overall Song,-66.15763,0.0,-80.0,6.650132,35.58244466781616,12.093617916107178
