Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-36.64223,-13.233803,-80.0,21.82942,12.803281545639038,15.098546214193833
Low-Mid,-33.484898,-5.727646,-80.0,59.368652,11.619138717651367,16.15296346211714
Low-High,-29.173624,3.8146973e-06,-80.0,98.764046,12.925952672958374,19.4421279722104
Mid-Low,-37.07951,-1.5823174,-80.0,43.190025,18.527939319610596,24.08606930904561
Mid-Mid,-45.762768,-12.825291,-80.0,8.756686,21.1458420753479,26.82844200415377
Mid-High,-48.911976,-16.862179,-80.0,5.658119,20.90230703353882,24.421532176904158
High-Low,-49.545,-15.095192,-80.0,6.2293,21.833951473236084,24.805280130039606
High-Mid,-53.213017,-18.253288,-80.0,4.6566453,21.203176975250244,27.442971695442186
High-High,-60.18256,-22.222414,-80.0,2.2738411,23.460311889648438,22.44628495378153
Overall Song,-61.69269,3.8146973e-06,-80.0,6.7112875,36.28181219100952,12.250710725784302
