Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-43.67119,-10.988583,-80.0,29.791407,13.295918703079224,15.28060454982727
Low-Mid,-32.556255,-0.9261513,-80.0,103.50642,12.540825605392456,15.131759513085534
Low-High,-27.72421,0.0,-80.0,122.012344,12.03824520111084,20.19530553931865
Mid-Low,-40.123142,-1.6086082,-80.0,40.980316,19.906210899353027,20.45747026011312
Mid-Mid,-42.81315,-11.122528,-80.0,11.411745,21.496753692626953,20.08613168547084
Mid-High,-48.81127,-10.328022,-80.0,8.327232,25.0282883644104,22.383186638275948
High-Low,-58.45541,-7.6672287,-80.0,4.7547045,32.55662441253662,23.388523992008334
High-Mid,-59.499928,-15.905342,-80.0,2.4768078,29.983134269714355,24.13424599702678
High-High,-61.27613,-24.32117,-80.0,2.138375,22.843475341796875,25.04641630994381
Overall Song,-66.16153,0.0,-80.0,7.650797,36.092188358306885,10.8732271194458
