Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-36.343544,-11.3357315,-80.0,33.505394,11.17516279220581,14.20942144684129
Low-Mid,-25.101324,-1.3046188,-80.0,109.05151,10.955936908721924,16.827331598215196
Low-High,-22.868395,0.0,-80.0,109.49383,12.225395441055298,20.555196446238483
Mid-Low,-35.443096,-3.2683372,-80.0,33.131004,19.340156316757202,22.88507601855196
Mid-Mid,-39.04916,-9.947117,-80.0,17.03633,18.438552618026733,20.335281235138613
Mid-High,-43.11158,-9.319141,-80.0,11.269434,22.656004428863525,21.545901324368085
High-Low,-49.2362,-11.147015,-80.0,6.5817633,25.499329566955566,25.495379211284238
High-Mid,-58.22292,-16.327793,-80.0,3.4732075,25.87078094482422,25.937689535390724
High-High,-64.50377,-20.452374,-80.0,1.8148369,27.384061813354492,28.32060719711377
Overall Song,-67.18585,0.0,-80.0,7.4269896,35.59693098068237,11.131385564804077
