Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-24.16224,-9.605576,-80.0,44.183937,10.196386575698853,13.236671815527268
Low-Mid,-18.60321,-2.5773392,-80.0,99.06666,10.21135926246643,15.233657919198674
Low-High,-20.924938,0.0,-80.0,103.3651,12.419769763946533,19.697194090870177
Mid-Low,-32.930565,-3.1461906,-80.0,39.931065,17.53484010696411,21.293117474370643
Mid-Mid,-40.952396,-15.117462,-80.0,10.987523,16.77178978919983,19.6460436686606
Mid-High,-45.94902,-12.266113,-80.0,9.547421,20.84341526031494,22.369080693214872
High-Low,-51.439632,-14.667149,-80.0,4.8895097,24.254796504974365,22.685842877178
High-Mid,-51.05047,-18.006298,-80.0,3.6649046,23.419697284698486,22.26633565237464
High-High,-53.481216,-20.316116,-80.0,3.8986986,20.572738647460938,22.78000066367437
Overall Song,-59.047253,0.0,-80.0,7.3933315,35.330445766448975,11.187371015548706
