Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-29.70588,-10.836285,-80.0,55.830856,6.38638436794281,8.600030248016617
Low-Mid,-17.341461,-0.13119125,-80.0,211.81313,5.509909987449646,15.405828141780587
Low-High,-17.554066,0.0,-80.0,151.29459,8.56368899345398,18.948461100705135
Mid-Low,-31.766146,-3.7123795,-80.0,38.88823,16.651411056518555,20.10530303252038
Mid-Mid,-42.115322,-5.4876976,-80.0,17.432915,21.845059394836426,24.14069788027063
Mid-High,-55.257664,-17.47816,-80.0,3.943709,22.763898372650146,25.639193217341973
High-Low,-60.538418,-20.75326,-80.0,1.9511807,25.600945949554443,26.504736945028387
High-Mid,-61.55696,-22.941055,-80.0,1.6352075,24.947643280029297,27.177048235830966
High-High,-63.461857,-23.466997,-80.0,1.6418464,24.386508464813232,26.558048429813713
Overall Song,-67.01929,0.0,-80.0,10.361678,31.851553916931152,8.04241418838501
