Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-30.956024,-7.6706886,-80.0,71.53578,7.397921085357666,10.499301106647696
Low-Mid,-22.311394,0.0,-80.0,170.92781,7.502821683883667,15.399639139550455
Low-High,-24.827856,-0.3914795,-80.0,114.10054,10.621843338012695,18.792787769234984
Mid-Low,-38.733257,-0.15223312,-80.0,49.41427,18.129799365997314,20.43834521497258
Mid-Mid,-44.228916,-8.559261,-80.0,16.332773,19.3386173248291,20.603779966277592
Mid-High,-46.816746,-8.168617,-80.0,11.34699,22.892847061157227,23.632101064245468
High-Low,-50.195282,-7.3504677,-80.0,6.888962,28.045530319213867,25.03269826882631
High-Mid,-54.922817,-20.950794,-80.0,2.6711297,22.674381732940674,26.62886526151646
High-High,-56.64976,-21.400002,-80.0,2.4440653,22.996816635131836,28.36273800094695
Overall Song,-62.503475,0.0,-80.0,9.377106,32.71770000457764,9.41002607345581
