Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-38.055656,-16.7864,-80.0,26.227966,8.301275372505188,10.660655788797603
Low-Mid,-25.376438,-3.3796577,-80.0,133.40704,7.579730749130249,14.15164542788089
Low-High,-25.900206,-3.8146973e-06,-80.0,130.40805,11.156877279281616,20.3839327367932
Mid-Low,-37.392796,-3.3104897,-80.0,40.877064,17.92288303375244,20.682944211371023
Mid-Mid,-40.703747,-11.910557,-80.0,12.959338,19.30075168609619,19.82709047119482
Mid-High,-47.270145,-14.310474,-80.0,7.19309,22.01418161392212,25.34752737414155
High-Low,-54.09298,-17.368767,-80.0,4.361963,23.300561904907227,23.20178834206892
High-Mid,-55.21046,-21.06186,-80.0,3.5854728,21.310179233551025,23.617793371429624
High-High,-57.25313,-20.472462,-80.0,3.1757603,22.953550815582275,25.18676555586343
Overall Song,-63.94508,-3.8146973e-06,-80.0,8.459697,34.91586923599243,9.896723628044128
