Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-44.90953,-15.524075,-80.0,15.159498,13.231816291809082,16.38782608175399
Low-Mid,-34.043133,-3.4749374,-80.0,59.627354,13.38573694229126,15.826093292011343
Low-High,-25.588394,-3.8146973e-06,-80.0,99.62475,12.40224003791809,16.718340146032066
Mid-Low,-30.192883,-1.3185463,-80.0,47.415558,17.532620429992676,19.35468294391557
Mid-Mid,-39.64132,-8.1449585,-80.0,15.822973,20.238864421844482,22.475324866123497
Mid-High,-46.010334,-10.876492,-80.0,7.1886687,24.360127449035645,21.758924475527568
High-Low,-46.14277,-11.67651,-80.0,6.2448955,24.78257656097412,20.39943294874824
High-Mid,-51.389194,-14.604328,-80.0,3.6060226,26.62468910217285,25.92925624366599
High-High,-54.296932,-18.86908,-80.0,2.198773,26.656899452209473,25.398225735337377
Overall Song,-61.95736,-3.8146973e-06,-80.0,6.9415293,35.54048299789429,11.924045085906982
