Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-30.373308,-4.2500534,-80.0,81.72469,9.392326474189758,10.625944345523418
Low-Mid,-24.003437,3.8146973e-06,-80.0,166.88141,7.441288232803345,15.141846453213265
Low-High,-25.300238,-0.75398636,-80.0,109.225624,10.368967056274414,19.4738274672081
Mid-Low,-33.35779,-1.2134857,-80.0,44.361225,17.735891342163086,23.16360018619399
Mid-Mid,-39.812107,-7.7281647,-80.0,14.23868,21.091887950897217,20.99142827611243
Mid-High,-41.94715,-8.740917,-80.0,11.69875,21.785738468170166,24.641573513517375
High-Low,-44.83335,-10.944286,-80.0,7.666341,23.253393173217773,21.71581814716636
High-Mid,-48.105267,-15.597229,-80.0,4.596566,23.043546676635742,22.49765408724365
High-High,-51.641613,-17.779816,-80.0,3.6687396,22.819292545318604,24.146616321156365
Overall Song,-57.74696,3.8146973e-06,-80.0,9.3059225,32.514259815216064,9.47587788105011
