Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-38.647537,-7.1651535,-80.0,38.770336,12.037914991378784,14.579445232530194
Low-Mid,-33.075977,-0.542511,-80.0,88.03552,11.537389755249023,13.711664419962686
Low-High,-31.859182,0.0,-80.0,104.11203,10.62304139137268,17.6898167318167
Mid-Low,-34.23738,-2.2053947,-80.0,34.979687,17.89134979248047,21.484721790740924
Mid-Mid,-38.62614,-8.919098,-80.0,15.287151,18.367431163787842,22.53481743768241
Mid-High,-43.638668,-7.98415,-80.0,9.629998,23.31638813018799,24.454122513042776
High-Low,-48.52948,-11.138958,-80.0,6.26574,23.89465570449829,28.2106968489457
High-Mid,-56.55964,-9.900185,-80.0,3.8927696,29.267702102661133,26.84357802156108
High-High,-62.890327,-12.608772,-80.0,2.432602,30.64286470413208,28.471955019011318
Overall Song,-65.601944,0.0,-80.0,7.043015,34.017887115478516,11.795289516448975
