Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-36.325184,-12.803268,-80.0,39.24793,8.971939086914062,11.837327674314652
Low-Mid,-28.558409,-3.5990906,-80.0,104.66764,9.656205773353577,15.448250028402361
Low-High,-30.688152,0.0,-80.0,117.468094,12.253143787384033,19.147563668056023
Mid-Low,-44.41536,-1.9764633,-80.0,43.723827,18.86071801185608,24.07458310529536
Mid-Mid,-47.054577,-7.076168,-80.0,10.140859,26.45388126373291,25.034523387905743
Mid-High,-50.1493,-10.071541,-80.0,7.8685803,25.662074089050293,23.918146752916854
High-Low,-53.249798,-13.759235,-80.0,4.40889,27.005722522735596,24.27594009120295
High-Mid,-55.439167,-18.285141,-80.0,3.7808528,23.81460666656494,24.378612554665906
High-High,-60.050312,-19.292229,-80.0,3.3579874,23.837730884552002,25.45059523384373
Overall Song,-66.73708,0.0,-80.0,7.8046,35.80452919006348,10.998702049255371
