Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-52.576126,-16.76978,-80.0,16.333342,13.514925241470337,16.129423259706954
Low-Mid,-45.035114,-2.9534645,-80.0,83.12237,13.198385238647461,15.7023577459031
Low-High,-35.35157,0.0,-80.0,116.1884,13.24295163154602,21.150505239434434
Mid-Low,-37.62972,-2.8357658,-80.0,42.222153,19.19963836669922,21.684722105578093
Mid-Mid,-41.40477,-11.927486,-80.0,12.373115,20.76914072036743,19.53992207288953
Mid-High,-44.316803,-11.05378,-80.0,10.971065,22.68745183944702,21.235337945241127
High-Low,-49.585712,-10.856941,-80.0,7.3258214,26.39213800430298,22.102921939473532
High-Mid,-55.280373,-17.698399,-80.0,3.5784526,25.77390193939209,24.29683473497118
High-High,-62.980824,-18.598793,-80.0,1.6458172,31.61978244781494,24.325366612196024
Overall Song,-65.91438,0.0,-80.0,7.484354,37.063119411468506,11.226720809936523
