Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-32.715588,-9.541267,-80.0,44.59199,9.310519099235535,10.388553334681225
Low-Mid,-22.791538,-0.58766556,-80.0,158.12569,7.269209027290344,15.93251819990613
Low-High,-23.04386,3.8146973e-06,-80.0,121.18143,10.168200731277466,18.81687070330863
Mid-Low,-35.874992,-1.72649,-80.0,33.42349,19.629396200180054,21.49299072348282
Mid-Mid,-39.142952,-9.2427025,-80.0,14.471141,19.384162425994873,15.54061474499325
Mid-High,-37.769623,-10.071785,-80.0,14.243396,18.6928653717041,18.195870522261092
High-Low,-39.3671,-8.47858,-80.0,10.579652,22.86891222000122,20.605546500788297
High-Mid,-42.9777,-11.667965,-80.0,6.1635613,24.37232255935669,21.36734978897028
High-High,-50.059097,-18.77108,-80.0,3.3602307,22.538459300994873,25.32837537208815
Overall Song,-56.54246,3.8146973e-06,-80.0,9.216839,32.54528284072876,9.211212992668152
