Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-43.870724,-10.24715,-80.0,29.964775,13.443186283111572,15.615330804665977
Low-Mid,-30.409616,-3.4276924,-80.0,75.73256,12.209211587905884,16.320804731877534
Low-High,-28.826178,-0.26460266,-80.0,97.40894,13.18597674369812,20.431885756164174
Mid-Low,-36.64557,0.0,-80.0,45.699272,20.02437114715576,19.309725927902978
Mid-Mid,-40.447495,-10.7036705,-80.0,15.82604,18.531440496444702,20.481600852391804
Mid-High,-49.74619,-9.138832,-80.0,8.267065,25.73669672012329,22.591695219707283
High-Low,-54.777695,-15.751465,-80.0,4.2589927,24.884955883026123,24.40782163074936
High-Mid,-57.412674,-16.910591,-80.0,2.8057353,27.35103130340576,27.745659477755385
High-High,-60.901276,-23.979553,-80.0,1.5052837,25.69063663482666,31.630943184044334
Overall Song,-65.43591,0.0,-80.0,6.8324056,36.53108596801758,12.026770114898682
