Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-35.71532,-19.13565,-80.0,15.852238,8.826997876167297,11.728575529344871
Low-Mid,-20.704576,-4.1967125,-80.0,89.36669,8.74423623085022,15.025325298230442
Low-High,-20.967852,0.0,-80.0,105.48766,11.5004301071167,18.884388862671308
Mid-Low,-35.5684,-3.3615265,-80.0,38.15043,16.9729483127594,21.120594552742666
Mid-Mid,-46.481426,-13.449051,-80.0,8.497044,19.930052757263184,25.806753107099517
Mid-High,-50.85507,-18.44704,-80.0,4.561976,20.334360599517822,28.658150471131727
High-Low,-54.84753,-14.9039,-80.0,3.6447716,25.827155113220215,28.914452103333133
High-Mid,-55.950928,-21.20694,-80.0,2.8791869,21.57212734222412,24.53305265871206
High-High,-56.660023,-19.413654,-80.0,2.9381762,23.18925142288208,23.483621164963818
Overall Song,-62.853313,0.0,-80.0,6.75854,35.3674054145813,12.097536325454712
