Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-33.35252,-9.50069,-80.0,34.400658,13.16575288772583,11.794408837358244
Low-Mid,-20.848768,-2.5120811,-80.0,129.08488,8.668195605278015,15.505037884663617
Low-High,-23.681868,3.8146973e-06,-80.0,119.56428,11.845753192901611,20.405750534638795
Mid-Low,-33.593594,-7.4950027,-80.0,28.45,16.821130514144897,18.85324174581158
Mid-Mid,-43.619022,-10.328518,-80.0,13.526794,20.44536590576172,22.747092788797204
Mid-High,-52.033985,-5.702244,-80.0,11.674715,26.35061025619507,23.840173685076785
High-Low,-58.793556,-7.020336,-80.0,4.8393464,32.681710720062256,25.98059077440196
High-Mid,-60.713642,-15.925884,-80.0,1.7843121,32.44248151779175,24.797910748057397
High-High,-64.368034,-24.446451,-80.0,1.8216743,23.741915225982666,27.192846087108173
Overall Song,-67.83377,3.8146973e-06,-80.0,7.7131467,35.65315008163452,11.001704931259155
