Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-38.308083,-13.269825,-80.0,19.654291,15.08877158164978,16.79178381248736
Low-Mid,-30.61597,-1.8987236,-80.0,84.430786,13.798997402191162,16.17234488829965
Low-High,-25.426868,3.8146973e-06,-80.0,97.70763,14.429172277450562,19.09580013735124
Mid-Low,-30.862595,-1.8986015,-80.0,49.97467,18.354140520095825,18.592036058666697
Mid-Mid,-37.745766,-11.886169,-80.0,17.186659,17.63774037361145,18.731416997430646
Mid-High,-45.230625,-14.308914,-80.0,8.961833,20.870893001556396,22.499945826474864
High-Low,-50.091362,-17.509136,-80.0,5.7085085,21.588153839111328,24.523828816428566
High-Mid,-53.86088,-19.9976,-80.0,3.907223,22.392776012420654,22.590824257241884
High-High,-59.604546,-13.114429,-80.0,2.4730587,33.24862003326416,25.65043109132018
Overall Song,-63.954617,3.8146973e-06,-80.0,7.349871,36.902146339416504,11.523513793945312
