Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-39.85526,-14.149227,-80.0,31.642277,9.840903282165527,12.178548963463596
Low-Mid,-27.30125,-2.083046,-80.0,135.99304,9.242108464241028,12.589720148246071
Low-High,-22.60553,-3.8146973e-06,-80.0,156.73785,10.09200930595398,19.703080746410862
Mid-Low,-42.853947,-4.2066307,-80.0,36.63561,18.510788679122925,23.436730035993307
Mid-Mid,-46.705788,-11.735275,-80.0,10.003873,22.25684642791748,25.180642028887398
Mid-High,-48.769627,-9.869183,-80.0,6.7446265,27.547147274017334,26.483081043307067
High-Low,-56.23169,-13.402992,-80.0,2.9713314,31.13347053527832,26.760196978703235
High-Mid,-55.01553,-22.353392,-80.0,3.3434505,21.158196926116943,21.49631329837373
High-High,-59.915398,-22.108963,-80.0,3.5603204,20.85674285888672,22.003473817765872
Overall Song,-66.64938,-3.8146973e-06,-80.0,9.150697,34.76640462875366,9.531477093696594
