Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-30.721626,-12.040066,-80.0,36.99365,9.326174259185791,11.774305079376148
Low-Mid,-19.191109,-1.1009941,-80.0,135.27919,9.00316596031189,14.005908625056097
Low-High,-18.04249,3.8146973e-06,-80.0,128.61531,10.542926788330078,15.358511216104274
Mid-Low,-22.953836,-2.81184,-80.0,73.17642,12.629514932632446,17.379098776534516
Mid-Mid,-37.2978,-4.693554,-80.0,22.512102,20.986902713775635,22.586675194091864
Mid-High,-45.9949,-8.601742,-80.0,8.838518,25.19944667816162,25.39737465830339
High-Low,-53.304695,-9.964497,-80.0,4.6746726,29.369258880615234,25.25179226511129
High-Mid,-57.563217,-11.514271,-80.0,3.0159726,31.625959873199463,24.99760428667862
High-High,-62.304226,-24.059118,-80.0,1.5326848,24.960601329803467,26.50841080761338
Overall Song,-65.5285,3.8146973e-06,-80.0,9.954047,32.76878595352173,8.55892539024353
