Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-37.6089,-10.168995,-80.0,32.35007,12.348572015762329,16.538742158433596
Low-Mid,-31.15188,-0.6127548,-80.0,82.21448,13.803353309631348,20.79753340635142
Low-High,-39.52809,0.0,-80.0,67.69808,16.103545427322388,22.47446128839734
Mid-Low,-50.80894,-3.9989548,-80.0,22.10533,21.826176643371582,23.89673614063588
Mid-Mid,-46.801765,-14.167557,-80.0,8.642988,19.814236164093018,23.25206870307921
Mid-High,-52.291042,-11.485882,-80.0,6.965503,24.37014102935791,25.400107714636135
High-Low,-59.90076,-14.110302,-80.0,2.6110952,30.26831865310669,27.925553609256724
High-Mid,-64.40083,-21.396973,-80.0,1.2477885,29.39527988433838,27.378922921831432
High-High,-66.51639,-28.922302,-80.0,0.8705294,24.997100830078125,25.618411262003917
Overall Song,-68.422646,0.0,-80.0,4.769559,39.1455078125,15.281020402908325
