Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-45.678917,-10.808243,-80.0,18.966314,13.050353527069092,15.124761507860125
Low-Mid,-32.89462,-2.5983849,-80.0,58.761395,11.438026428222656,17.157652633559437
Low-High,-32.911175,0.0,-80.0,64.5317,13.222792148590088,22.527165270561905
Mid-Low,-44.3814,-2.421154,-80.0,18.056787,21.864290237426758,22.22095261823743
Mid-Mid,-39.316723,-8.373814,-80.0,9.205232,21.763744354248047,24.340985558484864
Mid-High,-43.6181,-10.335922,-80.0,7.2913585,21.826164722442627,26.373821989606725
High-Low,-49.740112,-12.403374,-80.0,3.633364,25.808701515197754,28.706213278240448
High-Mid,-56.784943,-21.122377,-80.0,1.7355529,23.507120609283447,25.49258349835125
High-High,-61.22894,-18.238033,-80.0,1.9812235,25.241551399230957,24.793346906212253
Overall Song,-67.07195,0.0,-80.0,4.316633,36.7153525352478,15.371900796890259
