Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-39.34246,-5.810955,-80.0,52.078297,12.887396812438965,16.063051366270113
Low-Mid,-30.479189,-0.5181885,-80.0,90.29001,13.40050458908081,17.570422995899385
Low-High,-28.589642,0.0,-80.0,83.83861,14.562605619430542,20.050973606345906
Mid-Low,-35.08871,-2.9255486,-80.0,34.9915,19.226688146591187,20.896090865675028
Mid-Mid,-43.654503,-10.412601,-80.0,13.636642,19.924737215042114,21.89240300605729
Mid-High,-50.469284,-15.029095,-80.0,6.365408,21.92586660385132,23.65376537620874
High-Low,-59.355785,-15.8582115,-80.0,2.785687,28.27462673187256,26.627330221925952
High-Mid,-64.92621,-24.859665,-80.0,1.4261632,25.08843421936035,32.18617268478309
High-High,-70.86886,-27.974522,-80.0,0.82440484,26.734154224395752,30.490048373708056
Overall Song,-70.7094,0.0,-80.0,6.0861225,37.34467267990112,12.960362434387207
