Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-30.527315,-5.2628403,-80.0,62.567596,10.986127853393555,13.976422253490009
Low-Mid,-24.431124,-0.12547684,-80.0,110.465645,11.185938119888306,16.334350398868665
Low-High,-23.817833,0.0,-80.0,88.01054,13.28526258468628,19.234659632500637
Mid-Low,-33.850056,-3.9044342,-80.0,28.392828,19.20735001564026,20.267904572571467
Mid-Mid,-42.426334,-11.355316,-80.0,10.583632,20.32794713973999,23.77080912633908
Mid-High,-48.161266,-12.423996,-80.0,7.1915455,22.615513801574707,27.901845636099083
High-Low,-57.41131,-8.912327,-80.0,4.556733,30.090558528900146,31.65320445213348
High-Mid,-69.72321,-24.16933,-80.0,0.8683576,29.232654571533203,35.18715629555593
High-High,-74.770584,-25.158752,-80.0,0.50463134,32.95772075653076,41.69232753424147
Overall Song,-73.42208,0.0,-80.0,6.363249,36.102378368377686,12.668294906616211
