Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-41.656246,-13.549644,-80.0,25.380892,8.543713688850403,11.178822268701714
Low-Mid,-31.703295,-0.80888367,-80.0,114.54876,8.194802403450012,13.229390651758045
Low-High,-29.176966,0.0,-80.0,99.97956,10.185271501541138,17.27900814678754
Mid-Low,-34.370575,-2.6667557,-80.0,40.39536,15.39010763168335,20.34065555573735
Mid-Mid,-45.715126,-9.890446,-80.0,9.63724,20.613996982574463,25.057144937925322
Mid-High,-55.154343,-21.341894,-80.0,1.9420345,23.076460361480713,27.578849002756122
High-Low,-63.78045,-24.584837,-80.0,1.0657407,25.045626163482666,26.186225760208835
High-Mid,-66.479195,-25.161976,-80.0,0.86407405,26.290502548217773,29.056424934778544
High-High,-69.88847,-31.336374,-80.0,0.46316624,25.532383918762207,40.32808541007047
Overall Song,-72.233215,0.0,-80.0,6.7450204,33.603830337524414,12.182238101959229
