Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-27.85745,-5.7133484,-80.0,70.91289,10.263251066207886,11.082332826913667
Low-Mid,-20.525368,-2.3782768,-80.0,136.41486,7.915594577789307,14.790656020207503
Low-High,-21.955729,0.0,-80.0,121.64321,11.289347410202026,17.82816909454104
Mid-Low,-27.037153,-0.49723053,-80.0,56.344826,17.47679114341736,16.657289033702988
Mid-Mid,-33.238937,-4.232048,-80.0,30.43737,19.090911149978638,20.68658049038623
Mid-High,-40.08304,-5.23209,-80.0,14.525062,24.516654014587402,22.86365143245794
High-Low,-46.39943,-12.439026,-80.0,7.1872005,23.420884609222412,24.854479775836626
High-Mid,-55.013447,-14.333748,-80.0,3.373782,28.09501886367798,25.487870183286066
High-High,-63.12466,-17.173393,-80.0,1.8189924,30.621092319488525,28.22470488768144
Overall Song,-66.30995,0.0,-80.0,9.755214,33.20636987686157,8.29835295677185
