Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-61.73297,-35.819206,-80.0,0.52862126,18.8632595539093,23.585335074556568
Low-Mid,-58.779453,-29.90276,-80.0,0.9282115,19.889659881591797,23.656627409064754
Low-High,-59.268707,-30.091415,-80.0,0.9136349,19.83849048614502,30.495941618158817
Mid-Low,-60.22046,-6.439827,-80.0,3.7338665,31.262357234954834,19.89871520496429
Mid-Mid,-45.36826,-1.9057808,-80.0,14.723567,23.87932062149048,20.47894017056043
Mid-High,-46.050446,-3.8146973e-06,-80.0,17.897999,24.089267253875732,18.18246447748035
High-Low,-48.30336,-2.0415306,-80.0,10.14035,26.98277235031128,21.072234865986562
High-Mid,-54.079384,-11.556736,-80.0,3.5823672,26.50521993637085,28.952648122151263
High-High,-61.040745,-14.038372,-80.0,1.442122,31.92694902420044,29.99907144407647
Overall Song,-65.2049,-3.8146973e-06,-80.0,4.3487287,36.378111839294434,15.520788431167603
