Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-32.139378,-18.734497,-49.755665,5.9374433,13.209778070449829,32.23527339448795
Low-Mid,-61.665867,-22.10432,-80.0,0.7223227,28.137316703796387,34.093269444747875
Low-High,-61.655155,-21.399866,-80.0,0.7621572,28.37550401687622,22.575899953584113
Mid-Low,-52.583073,-3.1647797,-80.0,11.718384,22.874133586883545,19.905256332499906
Mid-Mid,-46.887634,-1.1197433,-80.0,15.934606,22.249693870544434,19.568050469292462
Mid-High,-48.675083,0.0,-80.0,13.336396,24.91549253463745,21.506837977442252
High-Low,-57.492413,-5.160099,-80.0,4.5230217,29.147589206695557,24.85779458632768
High-Mid,-63.053387,-12.472294,-80.0,1.4885978,31.488423347473145,31.476287569329287
High-High,-66.60135,-16.452095,-80.0,1.0141244,30.842344760894775,33.43444515972791
Overall Song,-68.692894,0.0,-80.0,3.1765318,37.37719774246216,18.66440176963806
