Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-60.09956,-32.425835,-80.0,0.7796989,19.407191276550293,22.914052799839745
Low-Mid,-60.323402,-33.45469,-80.0,0.82630473,17.87407159805298,27.197760875457785
Low-High,-62.695446,-28.275251,-80.0,0.75023896,23.892323970794678,29.880198393612297
Mid-Low,-61.056423,-26.40696,-80.0,0.82985896,24.884519577026367,19.576533274236432
Mid-Mid,-41.063038,-3.8146973e-06,-80.0,22.263477,22.71970510482788,20.52156985156071
Mid-High,-53.793198,-18.540592,-80.0,2.362798,23.662443161010742,28.074397453003876
High-Low,-53.241135,-10.93063,-80.0,2.2854133,31.561644077301025,24.39217165596595
High-Mid,-61.706116,-16.518925,-80.0,1.5665938,29.253511428833008,30.939704725188143
High-High,-72.84966,-26.365063,-80.0,0.23324747,35.950164794921875,40.84181872710416
Overall Song,-72.65379,-3.8146973e-06,-80.0,2.5663855,41.48512840270996,20.13035535812378
