Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-32.302032,-23.346928,-68.52544,7.104711,7.837755084037781,25.76475702764727
Low-Mid,-67.01093,-35.106033,-80.0,0.34503007,22.352440357208252,26.15552173925199
Low-High,-69.580246,-36.769665,-80.0,0.30628282,21.72349214553833,32.039734356622645
Mid-Low,-63.01828,-3.977398,-80.0,6.882044,27.483863830566406,19.547863095396593
Mid-Mid,-53.766838,-1.6397896,-80.0,15.502239,22.767934799194336,18.032725481144862
Mid-High,-56.46348,-3.8146973e-06,-80.0,13.806076,25.414204597473145,22.20460308980701
High-Low,-62.376316,-3.7828636,-80.0,5.0984664,30.28395652770996,25.45081918174038
High-Mid,-68.835014,-12.844666,-80.0,1.3935452,32.48852491378784,33.79699290108166
High-High,-70.261055,-18.217344,-80.0,0.60147345,34.413936138153076,34.15194155524952
Overall Song,-71.64707,-3.8146973e-06,-80.0,3.1299138,38.30496072769165,18.29432487487793
