Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-61.871597,-28.587769,-80.0,0.4359997,24.54148292541504,30.845009552244967
Low-Mid,-61.22037,-19.761194,-80.0,0.88137764,27.25454330444336,30.38723747568762
Low-High,-57.024513,-13.030605,-80.0,1.7489467,28.03283929824829,23.968373423894015
Mid-Low,-43.78129,-4.3331146,-80.0,12.329954,19.76663112640381,18.34959287941493
Mid-Mid,-39.561977,-0.087379456,-80.0,16.747656,21.3525128364563,19.458549223002194
Mid-High,-44.000687,0.0,-80.0,15.052248,22.366948127746582,21.0918898819318
High-Low,-49.10993,-4.9234085,-80.0,5.1693892,26.726787090301514,23.342856029080707
High-Mid,-53.624443,-8.744259,-80.0,2.6241717,28.794870376586914,28.625658911140945
High-High,-61.473537,-11.425415,-80.0,1.5723499,30.56257724761963,31.21584053078879
Overall Song,-66.43136,0.0,-80.0,3.56684,34.87330436706543,17.588452100753784
