Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-21.064144,-12.010187,-42.18756,11.425961,8.889782428741455,31.13465051402305
Low-Mid,-56.588444,-11.960451,-80.0,1.0500927,29.672818183898926,32.215556394675865
Low-High,-61.14837,-6.2287865,-80.0,1.4473462,32.61758804321289,27.20310718184529
Mid-Low,-57.73144,-4.996193,-80.0,4.300697,24.390852451324463,24.49540474841999
Mid-Mid,-52.163456,-0.39739227,-80.0,7.564424,24.08491611480713,23.88818196319147
Mid-High,-54.985966,0.0,-80.0,5.955043,26.56012535095215,28.007377522221404
High-Low,-57.444473,-5.306389,-80.0,2.9388468,27.387893199920654,27.077871712896112
High-Mid,-60.735672,-6.273781,-80.0,1.4393895,32.6204776763916,27.767956146759296
High-High,-63.886036,-8.589722,-80.0,1.2978348,31.203713417053223,27.384871232196836
Overall Song,-68.85201,0.0,-80.0,1.889448,36.531124114990234,23.084769248962402
