Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-22.740173,-20.966066,-27.110096,14.321551,1.717376708984375,24.618171891454725
Low-Mid,-65.52657,-30.527973,-80.0,0.3718676,23.867506980895996,32.98696916175502
Low-High,-66.4828,-22.45111,-80.0,0.46983176,29.91328716278076,26.359721336758778
Mid-Low,-62.719074,-9.034412,-80.0,1.957726,30.93379497528076,22.974089571853945
Mid-Mid,-54.854057,0.0,-80.0,8.41832,27.298736572265625,17.91686685374149
Mid-High,-55.334816,-0.1047287,-80.0,15.2930975,22.008609771728516,16.85277805636368
High-Low,-63.037426,-6.085682,-80.0,5.719871,24.569838047027588,22.495135162457927
High-Mid,-64.74401,-12.394592,-80.0,2.391541,25.835094451904297,33.9327674165275
High-High,-72.97585,-17.556198,-80.0,0.61542726,32.4635124206543,31.595976150873195
Overall Song,-72.92041,0.0,-80.0,3.1801245,35.754361152648926,18.866219520568848
