Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-59.9827,-23.72861,-80.0,0.90213513,27.08660125732422,31.053538060049924
Low-Mid,-64.83849,-25.64326,-80.0,0.65886676,27.901432514190674,29.82212920835145
Low-High,-63.439434,-23.498135,-80.0,0.9499386,26.868596076965332,20.079715481422863
Mid-Low,-47.728333,-3.802864,-80.0,10.825927,25.428478717803955,19.64338636810114
Mid-Mid,-42.361996,3.8146973e-06,-80.0,20.46156,23.701868057250977,19.637644695503358
Mid-High,-47.201942,-0.056087494,-80.0,16.47659,25.52720546722412,22.730294283278702
High-Low,-52.72173,-3.4973335,-80.0,6.5402493,30.111427307128906,25.04442382508035
High-Mid,-58.88605,-10.320396,-80.0,2.5198028,31.572914123535156,29.515566230192768
High-High,-65.062386,-15.259407,-80.0,1.3306291,32.180094718933105,33.00043769644258
Overall Song,-68.11886,3.8146973e-06,-80.0,3.9983037,37.883126735687256,16.589877605438232
