Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-26.992043,-23.915096,-32.840683,7.7743454,2.963094115257263,25.324109476728097
Low-Mid,-67.75422,-34.612675,-80.0,0.23094131,22.808759212493896,29.514949034053778
Low-High,-68.71236,-36.24811,-80.0,0.24601255,20.624210834503174,30.448143014098214
Mid-Low,-64.55932,-1.6394501,-80.0,2.8681693,33.89991760253906,24.91403167794951
Mid-Mid,-59.874454,-1.9901962,-80.0,5.8864903,27.30414390563965,22.363802500264505
Mid-High,-59.491856,0.0,-80.0,6.764383,28.08690309524536,25.93650567542713
High-Low,-63.322277,-4.1638336,-80.0,3.760233,29.02333974838257,29.94331748861027
High-Mid,-66.475525,-10.499046,-80.0,1.5185882,30.563619136810303,35.62518596264118
High-High,-73.68306,-16.650694,-80.0,0.1954559,42.2197961807251,38.99805503644554
Overall Song,-74.26441,0.0,-80.0,1.7380399,39.89027261734009,23.52144479751587
