Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-59.96413,-24.110476,-80.0,0.8834274,26.797964572906494,31.2818705881067
Low-Mid,-64.83424,-25.560732,-80.0,0.64797366,28.039977550506592,29.351729546582668
Low-High,-63.351273,-23.54972,-80.0,0.984198,26.420483589172363,19.912784863671057
Mid-Low,-47.665466,-3.7957268,-80.0,10.766467,25.39466619491577,19.440365078822083
Mid-Mid,-42.245144,0.0,-80.0,20.311838,23.67687225341797,19.62263779894034
Mid-High,-47.122322,-0.05770874,-80.0,16.324883,25.517146587371826,23.385648050841972
High-Low,-52.67962,-3.498024,-80.0,6.4740934,30.110254287719727,25.065087959987522
High-Mid,-58.8678,-10.312778,-80.0,2.497346,31.569504737854004,29.565561076550978
High-High,-65.04375,-15.240799,-80.0,1.315942,32.20632076263428,33.01119420536576
Overall Song,-68.10517,0.0,-80.0,3.9636977,37.86984443664551,16.706597805023193
