Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-32.423904,-21.545658,-57.24864,4.911192,10.74791431427002,35.90896272800269
Low-Mid,-65.43226,-17.567356,-80.0,0.596109,33.04343938827515,33.81652627705019
Low-High,-66.01075,-16.183912,-80.0,0.83298486,31.520655155181885,23.69849438697929
Mid-Low,-56.88919,0.0,-80.0,11.876927,24.6232271194458,20.515877477511538
Mid-Mid,-54.754547,-0.60105896,-80.0,12.917339,23.292791843414307,18.869455072196285
Mid-High,-56.171604,-1.0369797,-80.0,11.172912,24.117000102996826,22.826832979149184
High-Low,-62.25897,-2.609665,-80.0,4.605064,30.242929458618164,27.367006131584297
High-Mid,-66.39876,-6.8627243,-80.0,1.6892456,34.700729846954346,32.42379379277517
High-High,-72.823875,-14.73703,-80.0,0.66568226,34.914939403533936,39.583533362945936
Overall Song,-73.6064,0.0,-80.0,2.78051,37.23482131958008,19.561588764190674
