Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-50.2132,-31.123465,-80.0,0.87057203,18.392833471298218,32.3500699012359
Low-Mid,-70.72378,-31.873041,-80.0,0.26110443,28.103065490722656,35.51694534621644
Low-High,-70.4175,-26.203156,-80.0,0.31461552,32.153635025024414,35.094087104914365
Mid-Low,-64.49681,-8.958679,-80.0,1.5537095,35.52631855010986,23.873309161932337
Mid-Mid,-51.06242,-1.9293518,-80.0,9.405558,26.91535234451294,20.698097696458294
Mid-High,-42.5727,-1.5027084,-80.0,10.076334,26.74363136291504,23.59694984586344
High-Low,-49.152836,0.0,-80.0,6.380973,32.21465349197388,27.322348770685156
High-Mid,-58.907932,-7.10141,-80.0,1.6440933,36.89245939254761,28.99420333095797
High-High,-68.448296,-19.379318,-80.0,0.6853187,32.21522331237793,32.909821549726026
Overall Song,-70.190254,0.0,-80.0,2.5592062,40.15028476715088,19.704149961471558
