Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-32.261032,-19.864347,-64.92845,5.132313,12.26298451423645,35.021792373729504
Low-Mid,-65.35792,-17.936562,-80.0,0.6528028,32.10139274597168,34.0807354625828
Low-High,-65.939674,-13.219551,-80.0,0.95443624,33.51910591125488,23.12492753351939
Mid-Low,-56.813946,3.8146973e-06,-80.0,12.346365,24.502813816070557,20.516143927782906
Mid-Mid,-54.71844,-0.4186058,-80.0,13.435699,23.349783420562744,18.817750283626946
Mid-High,-56.10039,-0.91130066,-80.0,11.614957,24.121944904327393,22.438200436226097
High-Low,-62.187443,-2.4900284,-80.0,4.7845316,30.246777534484863,27.371011610192607
High-Mid,-66.33332,-6.731819,-80.0,1.7586185,34.69834327697754,32.44927209520827
High-High,-72.77485,-14.636719,-80.0,0.6909199,34.90832328796387,39.60176678889292
Overall Song,-73.574234,3.8146973e-06,-80.0,2.8909583,37.11276054382324,19.26171898841858
