Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-56.83119,-31.490747,-80.0,0.5308247,19.233306646347046,22.130636908468144
Low-Mid,-56.90465,-30.694233,-80.0,0.5846479,19.19095516204834,32.73091437558488
Low-High,-59.008984,-21.47294,-80.0,0.5196766,29.43547248840332,22.228068209456406
Mid-Low,-52.013065,-10.16428,-80.0,3.341535,24.579875469207764,19.705543071812006
Mid-Mid,-45.61261,-3.7502747,-80.0,8.222506,23.17272186279297,21.66500848188512
Mid-High,-48.475246,0.0,-80.0,8.807177,26.32634162902832,25.866020157480527
High-Low,-51.725708,-2.6927948,-80.0,7.116729,25.484671592712402,20.387848836551875
High-Mid,-54.06006,-10.277069,-80.0,3.1663425,24.934847354888916,25.449251995744454
High-High,-61.142204,-13.693323,-80.0,1.4213909,28.47548246383667,28.065315606738874
Overall Song,-66.752,0.0,-80.0,2.7896235,36.31216526031494,19.663691520690918
