Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-23.148682,-9.814774,-32.951637,16.016846,12.269004583358765,34.64187141235745
Low-Mid,-63.355686,-20.726543,-80.0,0.5217448,31.099612712860107,31.08972989145156
Low-High,-70.52005,-30.919394,-80.0,0.24910164,27.32839345932007,24.243902909522006
Mid-Low,-65.638756,-7.27129,-80.0,4.2885427,26.257832050323486,22.49711624503628
Mid-Mid,-61.501305,-7.0825005,-80.0,4.124595,26.785194873809814,24.62458243896684
Mid-High,-61.32376,3.8146973e-06,-80.0,5.881319,30.78582525253296,30.00146955471785
High-Low,-66.87436,-7.439022,-80.0,2.2087789,31.853251457214355,31.855123120266676
High-Mid,-68.21853,-12.355625,-80.0,1.2978799,31.555004119873047,32.3425057607587
High-High,-71.46798,-14.169022,-80.0,0.5962937,36.49709224700928,33.078173313240676
Overall Song,-71.91912,3.8146973e-06,-80.0,1.759766,41.26622200012207,24.579415321350098
