Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-59.782852,-20.986996,-80.0,1.0447618,26.41920566558838,29.302846607733546
Low-Mid,-61.083794,-20.851976,-80.0,1.0225438,26.74093008041382,26.442942539649682
Low-High,-60.1902,-10.094917,-80.0,5.1663427,23.42796564102173,24.98980472011874
Mid-Low,-51.526268,-4.602951,-80.0,12.929419,20.952014923095703,21.602592350094845
Mid-Mid,-48.353497,-2.2800064,-80.0,12.367264,23.661065101623535,21.183311482363543
Mid-High,-49.704052,-1.2107239,-80.0,13.828246,23.760480880737305,19.13784381313977
High-Low,-51.66314,0.0,-80.0,8.733168,28.96310806274414,24.211568186245618
High-Mid,-59.226604,-8.063087,-80.0,2.5500705,31.592411994934082,31.223353181899153
High-High,-68.461075,-17.996374,-80.0,0.9522035,30.21557331085205,32.79669253585035
Overall Song,-69.86063,0.0,-80.0,3.674799,36.481873989105225,17.444008588790894
