Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-32.01496,-29.764893,-37.578434,5.035078,2.220893055200577,31.46571112890266
Low-Mid,-73.27357,-30.009775,-80.0,0.2867723,26.865389347076416,32.36343449101507
Low-High,-72.545334,-22.434965,-80.0,0.39599472,31.637156009674072,31.406858983161605
Mid-Low,-68.375496,-3.5130348,-80.0,2.6132345,34.16930675506592,22.95713636670731
Mid-Mid,-63.40936,-0.5799637,-80.0,8.572782,26.78351402282715,23.009176871268572
Mid-High,-62.406586,-0.72431564,-80.0,8.853805,26.35899543762207,21.997362853810248
High-Low,-65.69673,0.0,-80.0,5.708519,30.895440578460693,26.729986350554675
High-Mid,-67.33733,-6.5698547,-80.0,2.4290423,31.747350692749023,31.764839134234016
High-High,-70.36989,-9.083469,-80.0,1.3405459,34.39680576324463,33.33582530627528
Overall Song,-73.37196,0.0,-80.0,2.4845428,38.12098026275635,20.499906539916992
