Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-13.003415,-6.0391426,-29.210447,48.739113,5.819280743598938,19.696725152312833
Low-Mid,-52.142727,-19.52694,-80.0,1.9195293,20.425138473510742,30.346617816426935
Low-High,-65.467094,-24.99266,-80.0,0.6546328,24.30335760116577,33.60396196943309
Mid-Low,-72.11675,-3.50737,-80.0,2.049381,35.876150131225586,28.28573417568628
Mid-Mid,-72.109634,-3.1259232,-80.0,2.9985807,32.95173645019531,31.79946643709537
Mid-High,-73.16371,-0.2624092,-80.0,2.1537535,38.68964672088623,31.504520313496748
High-Low,-76.455956,-6.6853065,-80.0,1.1038067,38.072805404663086,35.52927686604883
High-Mid,-77.581245,-7.562191,-80.0,0.9870795,38.16673994064331,34.422788870528414
High-High,-79.055336,-14.746796,-80.0,0.22078559,43.989763259887695,38.79504609860768
Overall Song,-78.6862,3.8146973e-06,-80.0,3.4719038,34.80462312698364,20.03347158432007
