Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-31.334618,-20.867008,-54.34008,6.2373075,10.252828598022461,34.186808487981814
Low-Mid,-73.07249,-28.027985,-80.0,0.30307084,29.36091184616089,35.0872377469784
Low-High,-74.717995,-12.726002,-80.0,0.81328934,36.08887195587158,33.179398845390494
Mid-Low,-71.517654,-5.8594856,-80.0,3.386177,30.56610107421875,27.111434100181093
Mid-Mid,-69.75934,-1.9373779,-80.0,5.3054943,30.58788537979126,29.951707339704136
Mid-High,-69.85391,3.8146973e-06,-80.0,3.4022818,36.38437509536743,29.74109121721672
High-Low,-69.04812,-1.8238525,-80.0,1.9359729,39.45794105529785,27.94073067910087
High-Mid,-75.61357,-16.969822,-80.0,0.51143765,35.874104499816895,36.4421297247651
High-High,-78.86569,-24.06827,-80.0,0.13587488,40.28872489929199,44.23290740787629
Overall Song,-77.86865,3.8146973e-06,-80.0,1.0718321,46.417245864868164,26.245410442352295
