Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-27.84173,-18.076418,-43.10429,9.952545,9.009687304496765,22.635599294382903
Low-Mid,-65.36018,-32.22802,-80.0,0.51628125,20.559041500091553,26.37614609926708
Low-High,-68.09929,-34.46495,-80.0,0.3439017,21.85115337371826,29.848882461666406
Mid-Low,-60.72235,-16.519304,-80.0,1.5010666,26.997485160827637,22.74383085638965
Mid-Mid,-47.03896,0.0,-80.0,11.26311,26.011621952056885,20.056645441948152
Mid-High,-48.654327,-4.550991,-80.0,5.855233,27.142910957336426,22.290625033133225
High-Low,-53.32659,-9.666859,-80.0,3.2857006,27.045371532440186,22.207356770788152
High-Mid,-59.594524,-14.79464,-80.0,1.0262349,32.02521324157715,27.6817801849289
High-High,-70.64797,-28.218512,-80.0,0.24204244,31.14844560623169,34.20554671688799
Overall Song,-71.613655,0.0,-80.0,1.9037391,41.45264148712158,19.832669496536255
