Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-63.050972,-35.501167,-80.0,0.36932135,20.699105262756348,22.734394078095526
Low-Mid,-64.6928,-35.962135,-80.0,0.36157843,20.42217254638672,26.23474179263223
Low-High,-62.814068,-30.528133,-80.0,0.48163295,23.3659029006958,29.395431486073228
Mid-Low,-60.452045,-7.4723854,-80.0,2.6167347,31.720781326293945,23.156579722242398
Mid-Mid,-45.27333,3.8146973e-06,-80.0,10.697514,26.96270227432251,20.247258194762686
Mid-High,-48.98917,-0.71302795,-80.0,9.977259,26.855108737945557,20.442049611373303
High-Low,-48.093292,-2.4059372,-80.0,7.4034066,27.75379180908203,21.939171906412298
High-Mid,-65.36854,-8.794575,-80.0,1.3402187,36.2102746963501,40.57942047646361
High-High,-77.99689,-31.4214,-80.0,0.051244322,41.93404197692871,40.2409949467689
Overall Song,-74.29746,3.8146973e-06,-80.0,2.7510633,38.75834941864014,18.821051120758057
