Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-33.425022,-18.018732,-71.30373,5.8799024,15.19027829170227,28.814700454982273
Low-Mid,-64.29023,-24.76487,-80.0,0.82368386,25.5163311958313,23.056009993808296
Low-High,-62.162354,-14.800728,-80.0,3.2469487,23.566176891326904,24.30753983890504
Mid-Low,-56.307274,-6.603363,-80.0,7.6287503,24.343984127044678,26.595765964392506
Mid-Mid,-57.635136,-2.8272095,-80.0,6.2611732,29.836089611053467,27.551418029535697
Mid-High,-62.193428,0.0,-80.0,5.5821834,33.6603307723999,34.84215826553195
High-Low,-69.57333,-11.118439,-80.0,1.5238239,33.81927728652954,32.866158109039525
High-Mid,-74.903595,-18.994555,-80.0,0.39237702,37.72778511047363,34.7517763160019
High-High,-75.12704,-18.954449,-80.0,0.47404456,36.12558126449585,36.493672622320986
Overall Song,-76.174385,0.0,-80.0,1.4063585,45.634493827819824,24.25814390182495
