Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-36.906136,-30.064322,-46.13324,3.0562496,6.746344566345215,27.691503130635077
Low-Mid,-61.069767,-30.432472,-80.0,0.39629906,24.121510982513428,31.916100983484505
Low-High,-60.47184,-23.78272,-80.0,0.4953009,28.834338188171387,20.313371461659276
Mid-Low,-50.73841,-5.7489014,-80.0,5.6854806,25.670199394226074,21.46658198227118
Mid-Mid,-47.012856,-2.0960083,-80.0,8.403097,25.929646492004395,20.776616348369316
Mid-High,-47.57212,0.0,-80.0,9.332778,27.114224433898926,21.063332444029022
High-Low,-48.973015,-2.3126678,-80.0,6.0835977,28.518564701080322,24.21200649505249
High-Mid,-52.14327,-8.333046,-80.0,3.9768112,26.19069814682007,30.534478834766603
High-High,-60.723137,-16.730175,-80.0,0.9603484,30.13568878173828,33.368738643724626
Overall Song,-65.873695,0.0,-80.0,2.7647192,37.68142223358154,19.92160439491272
