Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-63.64367,-26.297995,-80.0,1.0133532,21.18316411972046,25.195647809718892
Low-Mid,-68.13929,-25.51026,-80.0,1.0336078,21.798999309539795,27.451957617733154
Low-High,-66.31465,-24.179008,-80.0,1.1202447,22.431106567382812,24.455861915603002
Mid-Low,-51.73336,-6.444565,-80.0,8.568914,22.493290901184082,19.30963315965704
Mid-Mid,-39.784416,-0.059005737,-80.0,24.48088,19.760830402374268,14.249450071860114
Mid-High,-41.489914,0.0,-80.0,22.98861,20.36612033843994,16.88226580243378
High-Low,-48.26822,-1.6902275,-80.0,9.975627,25.927345752716064,20.863918553562854
High-Mid,-56.150703,-11.3350525,-80.0,2.4409819,28.510031700134277,31.899606191188063
High-High,-65.34472,-16.193518,-80.0,1.0407898,31.055595874786377,31.244760252286362
Overall Song,-66.78576,0.0,-80.0,5.237353,33.2141375541687,14.361317157745361
