Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-58.36185,-27.121984,-80.0,0.7351269,22.629153728485107,29.060576030101277
Low-Mid,-62.49976,-24.29959,-80.0,0.7362257,25.438575744628906,27.053647877484845
Low-High,-61.18745,-21.979176,-80.0,0.8585783,26.423611640930176,22.00982322625176
Mid-Low,-45.645023,-7.0908203,-80.0,8.238652,21.67043924331665,23.353419587673137
Mid-Mid,-42.89822,-1.1865425,-80.0,12.15966,24.193413257598877,20.43728556329981
Mid-High,-44.047684,0.0,-80.0,12.775923,24.95054006576538,21.350653247853856
High-Low,-49.463562,-2.3334122,-80.0,6.1840415,28.919527530670166,22.864545845237917
High-Mid,-58.788773,-12.085518,-80.0,2.109763,28.508193492889404,29.352626362005452
High-High,-71.41516,-20.960466,-80.0,0.45090935,33.036131858825684,33.92255421176966
Overall Song,-71.147675,0.0,-80.0,3.0050917,37.521231174468994,19.167131185531616
