Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-38.559452,-23.816896,-68.87743,3.2540245,14.057120084762573,27.529808320758875
Low-Mid,-54.147617,-15.694145,-80.0,2.2515192,25.37877321243286,26.581060970385874
Low-High,-52.427628,-9.702515,-80.0,4.464964,25.4235577583313,25.785991259048146
Mid-Low,-47.82373,-1.4725304,-80.0,9.562026,27.03890562057495,19.6285537948256
Mid-Mid,-45.55747,-3.8146973e-06,-80.0,17.74831,23.139290809631348,21.000496206024486
Mid-High,-53.57279,-0.5557518,-80.0,10.926635,26.796953678131104,23.283417727740726
High-Low,-59.734726,-6.2666626,-80.0,3.7029557,30.484800338745117,29.710651059090477
High-Mid,-63.673054,-8.58453,-80.0,1.7577466,34.638776779174805,30.813186731127807
High-High,-68.47243,-10.674698,-80.0,1.1117663,36.527466773986816,34.27851263736999
Overall Song,-71.24092,-3.8146973e-06,-80.0,2.9513137,38.722124099731445,19.225893020629883
