Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-27.483208,-19.296955,-38.843983,4.3750854,7.817509174346924,27.54377617766245
Low-Mid,-67.49614,-30.604235,-80.0,0.18352824,24.05590295791626,30.668851060585823
Low-High,-69.248505,-25.595236,-80.0,0.17602092,29.427673816680908,26.748871606788548
Mid-Low,-61.567043,-0.8305931,-80.0,4.7488284,25.5718731880188,17.902561312595264
Mid-Mid,-59.56588,0.0,-80.0,6.8831377,23.178467750549316,22.97936179162725
Mid-High,-63.001648,-1.9452019,-80.0,3.317039,27.573981285095215,29.684072206943753
High-Low,-64.96963,-0.12068176,-80.0,2.2942765,32.60059833526611,30.402130027895918
High-Mid,-70.32524,-9.476297,-80.0,0.59621793,34.949798583984375,31.50998145611783
High-High,-72.923645,-0.42734146,-80.0,1.2084855,37.86202669143677,33.58895683014582
Overall Song,-74.607155,0.0,-80.0,1.3583046,37.274253368377686,24.979736804962158
