Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-53.619225,-22.58273,-80.0,0.91998476,24.28145170211792,26.922043483992056
Low-Mid,-55.56676,-21.689022,-80.0,1.0694261,23.86775493621826,27.129745410113348
Low-High,-55.70751,-14.839245,-80.0,1.8183649,26.106929779052734,20.457528157546182
Mid-Low,-45.596252,-0.9868851,-80.0,11.084847,24.258313179016113,20.164693920598133
Mid-Mid,-44.797283,-2.3109474,-80.0,10.376042,23.50820779800415,20.869527587370783
Mid-High,-46.79445,0.0,-80.0,9.956711,26.177473068237305,21.87218260055346
High-Low,-50.88797,-1.4940224,-80.0,5.354932,30.070693492889404,25.016309802336124
High-Mid,-54.21076,-9.766678,-80.0,2.5348222,28.294167518615723,27.854114087228744
High-High,-60.34942,-18.036373,-80.0,1.0154458,27.970285415649414,28.94971238091284
Overall Song,-65.40055,0.0,-80.0,2.705814,37.493834495544434,19.237494468688965
