Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-31.32874,-18.106771,-61.22468,7.1723795,12.02862024307251,35.21262331417288
Low-Mid,-62.916393,-18.415482,-80.0,0.81846935,30.573124885559082,31.31492862500647
Low-High,-61.60752,-9.266113,-80.0,1.7156714,33.29386234283447,20.077588385163065
Mid-Low,-52.583893,-4.6932335,-80.0,12.218354,20.81516742706299,18.72600002589975
Mid-Mid,-51.953587,0.0,-80.0,16.16378,23.077800273895264,21.87127144321358
Mid-High,-56.6056,-1.6000214,-80.0,8.897274,26.663494110107422,25.135476260121926
High-Low,-62.011887,-5.571663,-80.0,3.4319687,30.966129302978516,27.016319299283058
High-Mid,-65.58385,-16.246317,-80.0,1.213941,29.318389892578125,31.061696795026243
High-High,-67.86225,-14.865334,-80.0,0.967437,32.67086982727051,33.26384163362302
Overall Song,-70.80177,0.0,-80.0,2.7128499,38.580143451690674,19.331610202789307
