Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-38.048046,-21.506542,-68.826546,4.5684705,16.435483694076538,38.93554527541004
Low-Mid,-79.48854,-24.04763,-80.0,0.3735915,35.64187288284302,41.15615439181524
Low-High,-79.44044,-22.351608,-80.0,0.41795993,36.36314153671265,39.84230767994849
Mid-Low,-77.99905,-12.8697815,-80.0,1.009759,38.18330764770508,29.48834502521779
Mid-Mid,-77.3304,0.0,-80.0,6.949333,34.29858207702637,27.55120194177419
Mid-High,-78.086105,-1.9470558,-80.0,3.0021014,39.64188098907471,31.541533904163792
High-Low,-79.18632,-20.61399,-80.0,0.41421238,38.17898988723755,38.96982368108009
High-Mid,-79.68195,-37.628227,-80.0,0.055476986,38.62695932388306,43.45504230370824
High-High,-79.92357,-46.46492,-80.0,0.016022852,40.57772636413574,44.55766769951573
Overall Song,-79.70991,0.0,-80.0,0.94257957,51.651082038879395,27.45039939880371
