Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-29.466467,-17.722427,-47.0832,10.75582,11.464557647705078,28.707326296912687
Low-Mid,-62.864685,-23.085302,-80.0,1.450797,23.502418994903564,27.16488573783254
Low-High,-64.20916,-21.788183,-80.0,1.3911791,25.164010524749756,31.289117036952344
Mid-Low,-61.87751,-8.993801,-80.0,2.8153684,31.83534860610962,24.541181185461674
Mid-Mid,-57.551895,-1.4929657,-80.0,10.273889,28.092193603515625,19.62189068640661
Mid-High,-56.388493,0.0,-80.0,15.514167,26.005287170410156,21.83821960165101
High-Low,-61.33112,-1.6057663,-80.0,6.987187,31.328041553497314,25.729022678663963
High-Mid,-67.632484,-11.613686,-80.0,1.3962176,35.30710458755493,29.82066137362761
High-High,-68.38995,-15.144558,-80.0,1.1464068,33.488521575927734,29.882595312383167
Overall Song,-72.40562,0.0,-80.0,3.3465414,39.32793140411377,17.247265577316284
